핵심 강좌,Core class
남자아이가 편지를 써요.,The boy writes a letter.
아이들이 편지를 써요.,Children write letters.
남자들이 밥을 먹어요.,Men eat rice.
여자들이 요리를 해요.,Women cook.
남자들이 수영을 해요.,Men swim.
아이들이 편지를 써요.,Children write letters.
여자아이들이 책을 읽어요.,Girls read books.
여자아이가 책을 읽어요.,The girl reads a book.
여자아이들이 편지를 써요.,Girls write letters.
여자아이가 편지를 써요.,The girl writes a letter.
여자가 책을 읽어요.,The woman reads a book.
남자아이가 주스를 마셔요.,The boy drinks juice.
여자가 편지를 써요.,The woman writes a letter.
남자아이가 밥을 먹어요.,The boy eats.
여자가 차를 마셔요.,The woman drinks tea.
여자가 밥을 먹어요.,The woman eats.
남자가 차를 마셔요.,The man drinks tea.
남자가 밥을 먹어요.,The man eats.
안녕히 계세요.,good bye.
안녕히 가세요.,goodbye.
안녕히 계세요.,good bye.
안녕히 가세요.,goodbye.
. 핵심 강좌,.  Core class
안녕하세요?,hello?
안녕하세요?,hello?
샌드위치,Sandwich
샌드위치,Sandwich
샌드위치,Sandwich
계란,egg
계란,egg
사과,apologize
빵,bread
빵,bread
빵,bread
커피,coffee
커피,coffee
우유,milk
샌드위치,Sandwich
계란,egg
사과,apologize
빵,bread
커피,coffee
우유,milk
여자아이하고 여자,Girl and girl
남자아이하고 남자,Boy and man
샌드위치하고 우유,Sandwich and milk
남자하고 여자,A man and a woman
밥하고 사과,Rice and apples
빵하고 물,Bread and water
남자아이가 우유를 마셔요.,The boy drinks milk.
여자가 커피를 마셔요.,The woman drinks coffee.
남자아이하고 남자가 물을 마셔요.,Boy and man drink water.
여자아이가 빵을 먹어요.,The girl eats bread.
남자가 계란을 먹어요.,The man eats eggs.
남자하고 여자가 밥을 먹어요.,A man and a woman eats.
. 계속,.  continue
여자가 사과를 먹어요.,The woman eats an apple.
남자가 밥을 먹어요.,The man eats.
사람들이 계란을 먹어요.,People eat eggs.
남자들이 샌드위치를 먹어요.,Men eat sandwiches.
사람들이 계란을 먹어요.,People eat eggs.
사람들이 샌드위치를 먹어요.,People eat sandwiches.
남자가 밥을 먹어요.,The man eats.
여자가 물을 마셔요.,The woman drinks water.
개,dog
개,dog
개,dog
고양이,cat
고양이,cat
말,word
차,car
차,car
차,car
신문,newspaper
신문,newspaper
자전거,bike
개,dog
고양이,cat
말,word
차,car
신문,newspaper
자전거,bike
남자가 운전을 해요.,The man driving.
여자가 운전을 해요.,The woman driving.
남자아이가 걸어요.,The boy walks.
여자아이가 걸어요.,The girl walks.
남자가 달려요.,The man runs.
여자가 걸어요.,The woman walks.
여자아이가 달려요.,The girl runs.
남자아이가 걸어요.,The boy walks.
아이들이 사과를 먹어요.,The children eat apologies.
남자가 운전을 해요.,The man driving.
아이들이 신문을 읽어요.,The children read the newspaper.
여자가 책을 읽어요.,The woman reads a book.
남자아이는 고양이가 있어요.,The boy has a cat.
여자는 개가 있어요.,A woman has a dog.
아이들은 말이 있어요.,Children have words.
남자는 차가 있어요.,The man has a car.
여자는 샌드위치가 있어요.,The woman has a sandwich.
사람들은 신문이 있어요.,People have a newspaper.
남자아이는 책이 있어요.,The boy has a book.
여자아이는 물고기가 있어요.,The girl has a fish.
사람들은 펜이 있어요.,People have a pen.
책,book
펜,pen
물고기,fish
남자가 자요.,The man sleeps.
여자가 자요.,A woman sleeps.
사람들이 자요.,People sleep.
물고기가 헤엄을 쳐요.,The fish swims.
고양이가 자요.,The cat sleeps.
개가 밥을 먹어요.,The dog eats.
말이 달려요.,I run.
물고기가 헤엄을 쳐요.,The fish swims.
개가 헤엄을 쳐요.,The dog swims.
남자가 수영을 해요.,The man swims.
아이들이 수영을 해요.,The children swim.
사람들이 수영을 해요.,People swim.
사람들이 신문을 읽어요.,People read the newspaper.
사람들이 걸어요.,People walk.
사람들이 자요.,People sleep.
남자가 운전을 해요.,The man driving.
남자아이가 운전을 안 해요.,The boy doesn't drive.
여자가 운전을 해요.,The woman driving.
여자아이가 운전을 안 해요.,The girl doesn't drive.
사람들이 요리를 해요.,People cook.
사람들이 요리를 안 해요.,People don't cook.
아이들이 편지를 써요.,Children write letters.
아이들이 편지를 안 써요.,Children don't write letters.
여자가 운전을 해요.,The woman driving.
여자가 운전을 안 해요.,The woman doesn't drive.
사람들이 수영을 해요.,People swim.
사람들이 수영을 안 해요.,People don't swim.
아이가 자요.,The child sleeps.
아이가 안 자요.,I don't sleep.
사람들이 요리를 안 해요. 밥을 먹어요.,People don't cook.  I eat rice.
사람들이 요리를 해요. 밥을 안 먹어요.,People cook.  I don't eat rice.
남자아이가 안 걸어요. 달려요.,The boy doesn't walk.  Run.
남자가 걸어요. 안 달려요.,The man walks.  I don't run.
여자들은 밥이 있어요.,Women have rice.
여자들은 밥이 없어요.,Women don't have rice.
남자아이는 펜이 있어요.,The boy has a pen.
남자아이는 펜이 없어요.,The boy doesn't have a pen.
남자아이는 우유가 있어요.,The boy has milk.
남자아이는 우유가 없어요.,The boy doesn't have milk.
여자아이들은 자전거가 있어요.,Girls have a bicycle.
여자아이들은 자전거가 없어요.,Girls don't have a bicycle.
개가 달려요.,The dog runs.
개가 안 달려요.,The dog doesn't run.
남자아이들은 물이 있어요.,Boys have water.
남자아이들은 물이 없어요.,Boys don't have water.
이게 뭐예요?,What's this?
이건 사과예요.,This is an apple.
이게 뭐예요?,What's this?
이건 신문이에요.,This is a newspaper.
이게 뭐예요?,What's this?
이건 고양이예요.,This is a cat.
이게 뭐예요?,What's this?
이건 자전거예요.,This is a bicycle.
이게 뭐예요?,What's this?
이건 계란이에요.,This is egg.
이게 뭐예요?,What's this?
이건 펜이에요.,This is a pen.
이게 뭐예요?,What's this?
이건 물고기예요.,This is a fish.
이게 뭐예요?,What's this?
이건 밥이에요.,This is rice.
자요?,sleep?
네. 자요.,yes.  sleep.
자요?,sleep?
아니요. 안 자요.,no.  Do not sleep.
개가 헤엄을 쳐요?,Do the dog swim?
네.,yes.
말이 헤엄을 쳐요?,Do you swim?
아니요.,no.
여자가 신문을 읽어요?,Does a woman read the newspaper?
아니요.,no.
여자가 책을 읽어요?,Does a woman read a book?
네.,yes.
남자아이가 사과를 먹어요?,Does the boy eat apple?
아니요.,no.
남자가 사과를 먹어요?,Does a man eat apple?
네.,yes.
안녕히 가세요.,goodbye.
안녕히 계세요.,good bye.
. 핵심 강좌,.  Core class
안녕하세요?,hello?
안녕하세요?,hello?
흰색,White
흰색,White
흰색,White
검은색,Black color
검은색,Black color
빨간색,Red
파란색,blue
파란색,blue
파란색,blue
녹색,green
녹색,green
노란색,yellow
파란색,blue
흰색,White
녹색,green
검은색,Black color
빨간색,Red
노란색,yellow
계란들이 빨간색이에요.,The eggs are red.
자전거들이 빨간색이에요.,The bicycles are red.
사과들이 녹색이에요.,The apples are green.
펜들이 녹색이에요.,The pens are green.
차들이 흰색이에요.,The cars are white.
자전거들이 흰색이에요.,The bicycles are white.
우유가 흰색이에요.,Milk is white.
밥이 흰색이에요.,The rice is white.
차가 흰색이에요.,The car is white.
차가 녹색이에요.,The car is green.
사과가 녹색이에요.,The apples are green.
자전거가 녹색이에요.,The bike is green.
계란이 파란색이에요.,The egg is blue.
계란들이 파란색이에요.,The eggs are blue.
자전거가 노란색이에요.,The bike is yellow.
자전거들이 노란색이에요.,The bicycles are yellow.
차가 검은색이에요.,The car is black.
차들이 검은색이에요.,The cars are black.
공이 빨간색이에요.,The ball is red.
공들이 빨간색이에요.,The balls are red.
차가 빨간색이에요.,The car is red.
차들이 빨간색이에요.,The cars are red.
고양이가 검은색이에요.,The cat is black.
고양이들이 검은색이에요.,Cats are black.
물고기가 빨간색이에요.,The fish is red.
물고기들이 빨간색이에요.,The fish are red.
자전거가 노란색이에요.,The bike is yellow.
자전거들이 노란색이에요.,The bicycles are yellow.
이건 빨간색이에요.,This is red.
이건 파란색이에요.,This is blue.
이건 검은색이에요.,This is black.
이건 흰색이에요.,This is white.
이건 녹색이에요.,This is green.
이건 노란색이에요.,This is yellow.
이건 빨간색이에요.,This is red.
이건 흰색이에요.,This is white.
이건 노란색이에요.,This is yellow.
이건 녹색이에요.,This is green.
이건 검은색하고 흰색이에요.,This is black and white.
이건 빨간색이에요.,This is red.
이건 흰색이에요.,This is white.
이건 파란색하고 녹색이에요.,This is blue and green.
개가 검은색이에요.,The dog is black.
개가 흰색이에요.,The dog is white.
고양이가 검은색이에요.,The cat is black.
고양이가 흰색이에요.,Cats are white.
달달달해해,It's sweet
하늘,sky
나무,tree
나무,tree
나무꽃꽃풀,Wooden flower
달해,Diligently
하늘,sky
나무꽃풀,Wooden flower
풀이 녹색이에요.,The grass is green.
하늘이 파란색이에요.,The sky is blue.
달이 흰색이에요.,The moon is white.
해가 노란색이에요.,The sun is yellow.
꽃이 빨간색이에요.,The flower is red.
해가 노란색이에요.,The sun is yellow.
사과가 노란색이에요.,The apple is yellow.
하늘이 파란색이에요.,The sky is blue.
계란이 파란색이에요.,The egg is blue.
달이 흰색이에요.,The moon is white.
차가 흰색이에요.,The car is white.
풀이 녹색이에요.,The grass is green.
공이 녹색이에요.,The ball is green.
꽃이 작아요.,The flowers are small.
계란이 작아요.,The eggs are small.
꽃들이 작아요.,The flowers are small.
계란들이 작아요.,The eggs are small.
꽃들이 커요.,The flowers are big.
책들이 커요.,The books are big.
물고기가 커요.,The fish is big.
계란이 커요.,The egg is big.
개가 커요.,The dog is big.
개가 작아요.,The dog is small.
꽃들이 커요.,The flowers are big.
꽃들이 작아요.,The flowers are small.
이 여자는 의사예요.,This woman is a doctor.
이 남자는 선생님이에요.,This man is a teacher.
이 사람들은 경찰관이에요.,These people are police officers.
이 남자아이는 학생이에요.,This boy is a student.
이 여자아이는 학생이에요.,This girl is a student.
이 아이들은 학생이에요.,These children are students.
이 남자는 경찰관이에요.,This man is a police officer.
이 여자는 선생님이에요.,This woman is a teacher.
이 남자는 의사예요.,This man is a doctor.
이 아이들은 학생이에요.,These children are students.
저는 선생님이에요.,I am a teacher.
저는 의사예요.,I am a doctor.
저는 학생이에요.,I am a student.
저는 선생님이에요.,I am a teacher.
저는 선생님이 아니에요.,I'm not a teacher.
저는 의사예요.,I am a doctor.
저는 의사가 아니에요.,I'm not a doctor.
저는 학생이에요.,I am a student.
저는 학생이 아니에요.,I'm not a student.
저는 녹색 책이 있어요.,I have a green book.
저는 노란색 책이 있어요.,I have a yellow book.
저는 빨간색 책이 있어요.,I have a red book.
선생님, 의사세요?,Teacher, you are a doctor?
네, 저는 의사예요.,Yes, I am a doctor.
선생님, 의사세요?,Teacher, you are a doctor?
아니요. 저는 의사가 아니에요.,no.  I'm not a doctor.
. 계속,.  continue
선생님, 뭐 하세요?,Teacher, what are you doing?
저는 밥을 먹어요.,I eat rice.
선생님, 뭐 하세요?,Teacher, what are you doing?
저는 운전을 해요.,I drive.
저는 선생님이에요.,I am a teacher.
저희는 선생님이에요.,We are a teacher.
저는 남자예요.,I am a man.
우리는 남자예요.,We are a man.
저희는 경찰관이에요.,We are police officers.
우리는 선생님이에요.,We are a teacher.
저희는 의사예요.,We are a doctor.
우리는 학생이에요.,We are students.
저는 빨간색 자전거가 있어요.,I have a red bike.
저희는 녹색 자전거가 있어요.,We have a green bike.
저는 빨간색 사과가 있어요.,I have a red apple.
저희는 녹색 사과가 있어요.,We have a green apple.
저는 빨간색 꽃이 있어요.,I have red flowers.
선생님은 빨간색 꽃이 있어요.,The teacher has a red flower.
남자는 빨간색 꽃이 있어요.,The man has a red flower.
여자는 빨간색 꽃이 있어요.,The woman has a red flower.
저희는 빨간색 꽃이 있어요.,We have red flowers.
사람들은 빨간색 꽃이 있어요.,People have red flowers.
남자가 뭐 해요?,What are the men doing?
요리를 해요.,Cook.
여자가 뭐 해요?,What is a woman doing?
책을 읽어요.,Read a book.
남자아이가 뭐 해요?,What are the boys doing?
달려요.,Run.
경찰관이 뭐 해요?,What are the police officers doing?
운전을 해요.,I drive.
여자아이가 뭐 해요?,What are the girls doing?
걸어요.,Walk.
선생님, 뭐 하세요?,Teacher, what are you doing?
저는 물을 마셔요.,I drink water.
선생님, 뭐 하세요?,Teacher, what are you doing?
저는 밥을 먹어요.,I eat rice.
안녕히 가세요.,goodbye.
안녕히 계세요.,good bye.
. 핵심 강좌,.  Core class
안녕하세요?,hello?
안녕하세요?,hello?
일,One
차 한 대,a car
의사 한 명 이,One doctor
펜 두 개,Two pen
남자아이 두 명,Two boys
삼,three
자전거 세 대,Three bicycles
학생 세 명 사,Three students
책 네 권,Four books
남자 네 명,Four men
오,Five
공 다섯 개,Five balls
사람들 다섯 명 육,Five people
사과 여섯 개,Six apologies
여자아이 여섯 명,Six girls
일이삼사오육,Ilsamsa Temple
일, 이, 삼,one two Three
육, 일, 삼, 오, 이,Six, work, three, oh, this
이, 사, 육,Lee, Sa, Yuk
일, 이, 삼, 사, 오,one two three four five
책이 한 권 있어요.,I have a book.
계란이 한 개 있어요.,I have one egg.
핸드폰이 한 개 있어요.,I have a cell phone.
물고기가 한 마리 있어요.,I have a fish.
여자가 한 명 있어요.,There is one woman.
아이가 한 명 있어요.,I have one child.
침대가 한 개 있어요.,I have a bed.
핸드폰이 두 개 있어요.,There are two cell phones.
공이 세 개 있어요.,There are three balls.
열쇠가 네 개 있어요.,There are four keys.
핸드폰이 한 개 있어요.,I have a cell phone.
아이들이 두 명 있어요.,There are two children.
책이 세 권 있어요.,There are three books.
여자들이 네 명 있어요.,There are four women.
물고기가 다섯 마리 있어요.,There are five fish.
계란이 여섯 개 있어요.,There are six eggs.
찻잔이 한 개 있어요.,There is a teacup.
탁자가 두 개 있어요.,There are two tables.
전화기가 세 대 있어요.,There are three telephones.
의자가 네 개 있어요.,There are four chairs.
물고기가 몇 마리 있어요?,How many fish do you have?
물고기가 세 마리 있어요.,There are three fish.
열쇠가 몇 개 있어요?,How many keys are there?
열쇠가 네 개 있어요.,There are four keys.
경찰관이 몇 명 있어요?,How many police officers are there?
경찰관이 두 명 있어요.,There are two police officers.
사과가 몇 개 있어요?,How many apples do you have?
사과가 한 개 있어요.,I have one apple.
의자가 몇 개 있어요?,How many chairs do you have?
의자가 여섯 개 있어요.,There are six chairs.
전화기가 몇 대 있어요?,How many telephones do you have?
전화기가 다섯 대 있어요.,There are five telephones.
침대가 몇 개 있어요?,How many beds do you have?
침대가 두 개 있어요.,There are two beds.
계란이 세 개 있어요.,There are three eggs.
계란이 다섯 개 있어요.,There are five eggs.
찻잔이 네 개 있어요.,There are four teacups.
찻잔이 여섯 개 있어요.,There are six teacups.
. 계속,.  continue
그릇,Bowl
그릇,Bowl
그릇,Bowl
접시,Dish
접시,Dish
찻잔,teacup
접시 세 개가 흰색이에요.,Three dishes are white.
사과 두 개가 녹색이에요.,Two apples are green.
꽃 한 송이가 빨간색이에요.,A flower is red.
그릇 네 개가 파란색이에요.,Four bowls are blue.
흰색 탁자가 몇 개 있어요?,How many white tables are there?
흰색 탁자가 두 개 있어요.,There are two white tables.
빨간색 공이 몇 개 있어요?,How many red balls do you have?
빨간색 공이 한 개 있어요.,I have a red ball.
노란색 그릇이 몇 개 있어요?,How many yellow bowls do you have?
노란색 그릇이 두 개 있어요.,There are two yellow bowls.
검은색 전화기가 몇 대 있어요?,How many black phones do you have?
검은색 전화기가 한 대 있어요.,I have a black phone.
신발,shoes
신발,shoes
신발,shoes
셔츠,shirt
셔츠,shirt
바지,pants
코트,Coat
코트,Coat
코트,Coat
원피스,one piece
원피스,one piece
치마,skirt
신발,shoes
셔츠,shirt
바지,pants
코트,Coat
원피스,one piece
치마,skirt
파란색 셔츠,Blue shirt
빨간색 셔츠,Red shirt
녹색 티셔츠,Green t -shirt
노란색 티셔츠,Yellow t -shirt
여러분은 찻잔이 몇 개 있으세요?,How many teacups do you have?
저희는 찻잔이 네 개 있어요.,We have four teacups.
여러분은 샌드위치가 몇 개 있으세요?,How many sandwiches do you have?
저희는 샌드위치가 다섯 개 있어요.,We have five sandwiches.
여러분은 그릇이 몇 개 있으세요?,How many bowls do you have?
저희는 그릇이 세 개 있어요.,We have three bowls.
여러분은 접시가 몇 개 있으세요?,How many dishes do you have?
저희는 접시가 두 개 있어요.,We have two plates.
저는 노란색 꽃이 있어요.,I have a yellow flower.
선생님은 빨간색 꽃이 있으세요.,The teacher has a red flower.
저희는 흰색 꽃이 있어요.,We have white flowers.
여러분은 파란색 꽃이 있으세요.,You have a blue flower.
여자아이가 티셔츠를 입었어요.,The girl wears a T -shirt.
남자아이가 티셔츠를 안 입었어요.,The boy didn't wear a T -shirt.
여자가 신발을 신었어요.,The woman wore shoes.
남자가 신발을 안 신었어요.,The man didn't wear shoes.
남자아이가 바지를 입었어요.,The boy wears his pants.
여자아이가 바지를 안 입었어요. 치마를,The girl didn't wear pants.  Her skirt
입었어요.,I wore it.
남자들이 모자를 썼어요.,The men wore a hat.
여자들이 모자를 썼어요.,The women wore a hat.
여자가 원피스를 입었어요.,The woman wears a dress.
여자가 치마를 입었어요.,The woman is wearing a skirt.
여자가 바지를 입었어요.,The woman wears pants.
여자가 모자를 썼어요.,The woman wore a hat.
남자가 신발을 신었어요.,The man wore shoes.
여자아이가 원피스를 입었어요.,The girl wore a dress.
남자가 모자 한 개를 사요.,A man buys a hat.
여자가 모자 두 개를 사요.,A woman buys two hats.
남자가 티셔츠 세 개를 사요.,The man buys three t -shirts.
여자가 티셔츠 네 개를 사요.,A woman buy four T -shirts.
남자가 코트를 입었어요.,The man wears a coat.
남자가 코트를 사요.,The man buys a coat.
남자가 모자를 썼어요.,The man wore a hat.
남자가 모자를 사요.,The man buys a hat.
저는 치마를 사요.,I buy a skirt.
저는 치마를 입었어요.,I have a skirt.
저는 바지를 사요.,I buy pants.
저는 바지를 입었어요.,I wear pants.
누가 밥을 먹어요?,Who eats?
경찰관이 밥을 먹어요.,The police officer eats.
누가 책을 읽어요?,Who read the book?
학생들이 책을 읽어요.,Students read books.
누가 주스를 마셔요?,Who drinks juice?
여자들이 주스를 마셔요.,Women drink juice.
누가 편지를 써요?,Who writes a letter?
여자아이가 편지를 써요.,The girl writes a letter.
누가 모자를 썼어요?,Who wrote a hat?
여자가 모자를 썼어요.,The woman wore a hat.
누가 공이 있어요?,Who is the ball?
남자아이들이 공이 있어요.,Boys have a ball.
누가 책을 읽어요?,Who read the book?
여자아이들이 책을 읽어요.,Girls read books.
누가 신문을 읽어요?,Who read the newspaper?
이 의사가 신문을 읽어요.,This doctor reads the newspaper.
누가 신발을 신었어요?,Who wore shoes?
제가 신발을 신었어요.,I wore shoes.
누가 모자를 썼어요?,Who wrote a hat?
저희가 모자를 썼어요.,We wore a hat.
누가 걸어요?,Who walks?
저희가 걸어요.,We walk.
누가 달려요?,Who runs?
저희가 달려요.,We run.
나무가 몇 그루 있어요?,How many trees do you have?
나무가 세 그루 있어요.,There are three trees.
나무가 몇 그루 있어요?,How many trees do you have?
나무가 네 그루 있어요.,There are four trees.
그릇이 몇 개 있어요?,How many bowls do you have?
그릇이 한 개 있어요.,I have a bowl.
아이들이 몇 명 있어요?,How many children do you have?
아이들이 여섯 명 있어요.,There are six children.
이게 뭐예요?,What's this?
빵이에요.,It's bread.
이게 뭐예요?,What's this?
침대예요.,It's a bed.
이게 뭐예요?,What's this?
물이에요.,It's water.
이게 뭐예요?,What's this?
접시예요.,It's a plate.
이게 뭐예요?,What's this?
나무예요.,It's a tree.
풀이 녹색이에요?,Is the grass green?
네. 녹색이에요.,yes.  It's green.
이게 뭐예요?,What's this?
자전거예요.,It's a bicycle.
자전거가 몇 대 있어요?,How many bicycles do you have?
세 대 있어요.,There are three.
이 남자는 자전거가 있어요?,Does this man have a bicycle?
아니요.,no.
이 여자는 자전거가 있어요?,Does this woman have a bicycle?
네.,yes.
이게 뭐예요?,What's this?
샌드위치예요.,It's a sandwich.
샌드위치가 몇 개 있어요?,How many sandwiches are there?
샌드위치가 두 개 있어요.,There are two sandwiches.
. 계속,.  continue
열쇠가 몇 개 있어요?,How many keys are there?
네 개 있어요.,There are four.
뭐 하세요?,What are you doing?
편지를 써요.,write a letter.
물고기가 있으세요?,Do you have fish?
네.,yes.
말이 검은색이에요?,Is the horse black?
아니요. 검은색이 아니에요.,no.  It's not black.
안녕하세요?,hello?
안녕하세요?,hello?
안녕히 가세요.,goodbye.
안녕히 계세요.,good bye.
. 이정표,.  milestone
안녕하세요?,hello?
안녕하세요?,hello?
선생님은 개가 있으세요?,Do you have a dog?
네, 저는 개가 있어요.,Yes, I have a dog.
뭐 하세요?,What are you doing?
책을 읽어요.,Read a book.
이게 뭐예요?,What's this?
커피예요.,It's coffee.
그게 뭐예요?,What is that?
빵이에요.,It's bread.
그게 뭐예요?,What is that?
사과예요.,It's an apple.
개가 뭐 해요?,What are the dogs doing?
개가 빵을 먹어요.,The dog eats bread.
. 핵심 강좌,.  Core class
남자하고 개,Dog with a man
여자하고 여자의 개,A woman and a woman's dog
여자아이하고 말,A girl with a girl
경찰관하고 경찰관의 말,Police officer and police officer
여자하고 여자의 차,A woman and a woman's car
여자하고 여자의 고양이,A woman and a woman's cat
남자하고 남자의 차,Men and man's car
남자하고 남자의 고양이,A man and a man's cat
아이들이 샌드위치를 먹어요.,Children eat sandwiches.
여자아이들이 샌드위치를 먹어요.,Girls eat sandwiches.
남자하고 여자가 신문을 읽어요.,A man and a woman read the newspaper.
남자들이 신문을 읽어요.,Men read the newspaper.
여자아이들이 책을 읽어요.,Girls read books.
사람들이 사과를 먹어요.,People eat apologies.
가족,family
가족,family
가족,family
가족,family
여자하고 여자의 딸,Girl
남자하고 남자의 아들,The son of a man and a man
가족,family
남자아이하고 남자아이의 아버지,Boy and Boy's father
여자아이하고 여자아이의 어머니,Girl and girl's mother
어머니,Mother
딸,daughter
아버지,father
아들,son
아기,Baby
여자하고 여자의 남편,A woman and a woman's husband
여자아이하고 여자아이의 부모님,Girl and girl's parents
여자아이들하고 여자아이들의 부모님,Girls and girls of girls
남자하고 남자의 아내,Man's wife
여자하고 여자의 아이들,Girls and women
아버지하고 아버지의 딸,Father and father's daughter
부모님하고 부모님의 아들들,Parents and the sons of parents
어머니하고 어머니의 아기,Mother and mother's baby
아버지하고 아버지의 아이들,Father and father's children
남편하고 남편의 아내,Husband and husband's wife
부모님하고 부모님의 딸,Parents and parents' daughters
아버지하고 아들들이 놀아요.,Father and sons play.
어머니하고 딸들이 놀아요.,My mother and daughters are playing.
남자아이하고 개가 놀아요.,The dog and the dog are playing.
여자하고 고양이가 놀아요.,I play a woman and a cat.
남자아이가 놀아요. 여자아이는 안 놀아요.,The boy is playing.  The girl doesn't play.
딸이 책을 읽어요. 아버지는 책을 안 읽어요.,My daughter reads a book.  My father doesn't read a book.
아버지가 요리를 해요. 아이들은 요리를 안,My father cooks.  Children don't cook
해요.,do.
누가 놀아요?,Who plays?
남자아이가 놀아요.,The boy is playing.
누가 자요?,Who sleeps?
여자가 자요.,A woman sleeps.
누가 밥을 먹어요?,Who eats?
남자가 밥을 먹어요.,The man eats.
누가 주스를 마셔요?,Who drinks juice?
여자가 주스를 마셔요.,The woman drinks juice.
저희 아들이에요.,My son.
